categoryid,count
category-2,72
category-4,50
category-1,48
category-10,35
category-3,35
category-8,27
category-13,27
category-9,27
category-6,26
category-5,26
category-7,23
category-14,20
category-20,19
category-12,18
category-18,17
category-19,17
category-11,16
category-15,14
category-16,13
category-17,10
